idx,mean_script,std_script,mean_backend,std_backend,diff_mean,diff_std
0,0.000000,0.000000,0.431826,0.305617,0.431826,0.305617
1,0.000000,0.000000,0.496055,0.354586,0.496055,0.354586
2,0.000000,0.000000,0.417131,0.295316,0.417131,0.295316
3,0.000000,0.000000,0.472809,0.339524,0.472809,0.339524
4,0.000000,0.000000,0.407143,0.288543,0.407143,0.288543
5,0.000000,0.000000,0.452999,0.328289,0.452999,0.328289
6,0.000000,0.000000,0.398620,0.282778,0.398620,0.282778
7,0.000000,0.000000,0.445554,0.326483,0.445554,0.326483
8,0.000000,0.000000,0.396586,0.281637,0.396586,0.281637
9,0.000000,0.000000,0.448088,0.330257,0.448088,0.330257
10,0.000000,0.000000,0.435788,0.309336,0.435788,0.309336
11,0.000000,0.000000,0.426611,0.312669,0.426611,0.312669
12,0.000000,0.000000,0.433320,0.308277,0.433320,0.308277
13,0.000000,0.000000,0.413198,0.311924,0.413198,0.311924
14,0.000000,0.000000,0.431592,0.307484,0.431592,0.307484
15,0.000000,0.000000,0.402031,0.310371,0.402031,0.310371
16,0.000000,0.000000,0.431660,0.307960,0.431660,0.307960
17,0.000000,0.000000,0.391322,0.308599,0.391322,0.308599
18,0.000000,0.000000,0.450486,0.319677,0.450486,0.319677
19,0.000000,0.000000,0.443318,0.323625,0.443318,0.323625
20,0.000000,0.000000,0.427129,0.302978,0.427129,0.302978
21,0.000000,0.000000,0.445126,0.330291,0.445126,0.330291
22,0.000000,0.000000,0.414426,0.293962,0.414426,0.293962
23,0.000000,0.000000,0.463303,0.341923,0.463303,0.341923
24,0.000000,0.000000,0.413676,0.293725,0.413676,0.293725
25,0.000000,0.000000,0.473137,0.348008,0.473137,0.348008
26,0.000000,0.000000,0.457053,0.324098,0.457053,0.324098
27,0.000000,0.000000,0.467948,0.339385,0.467948,0.339385
28,0.000000,0.000000,0.427623,0.302860,0.427623,0.302860
29,0.000000,0.000000,0.478401,0.349834,0.478401,0.349834
30,0.000000,0.000000,0.419337,0.297079,0.419337,0.297079
31,0.000000,0.000000,0.490810,0.358124,0.490810,0.358124
32,0.000000,0.000000,0.422792,0.299882,0.422792,0.299882
33,0.000000,0.000000,0.495218,0.361002,0.495218,0.361002
34,0.000000,0.000000,0.457700,0.324278,0.457700,0.324278
35,0.000000,0.000000,0.494342,0.356586,0.494342,0.356586
36,0.000000,0.000000,0.434293,0.307449,0.434293,0.307449
