idx,mean_script,std_script,mean_backend,std_backend,diff_mean,diff_std
0,0.000000,0.000000,0.539406,0.241858,0.539406,0.241858
1,0.000000,0.000000,0.620822,0.283572,0.620822,0.283572
2,0.000000,0.000000,0.521783,0.234039,0.521783,0.234039
3,0.000000,0.000000,0.591504,0.273035,0.591504,0.273035
4,0.000000,0.000000,0.509594,0.228966,0.509594,0.228966
5,0.000000,0.000000,0.564499,0.265525,0.564499,0.265525
6,0.000000,0.000000,0.498942,0.224566,0.498942,0.224566
7,0.000000,0.000000,0.552723,0.265609,0.552723,0.265609
8,0.000000,0.000000,0.497157,0.224230,0.497157,0.224230
9,0.000000,0.000000,0.556111,0.269858,0.556111,0.269858
10,0.000000,0.000000,0.546181,0.246249,0.546181,0.246249
11,0.000000,0.000000,0.530029,0.254217,0.530029,0.254217
12,0.000000,0.000000,0.543094,0.245932,0.543094,0.245932
13,0.000000,0.000000,0.510647,0.258217,0.510647,0.258217
14,0.000000,0.000000,0.541058,0.245655,0.541058,0.245655
15,0.000000,0.000000,0.495457,0.260366,0.495457,0.260366
16,0.000000,0.000000,0.541405,0.246476,0.541405,0.246476
17,0.000000,0.000000,0.480925,0.261539,0.480925,0.261539
18,0.000000,0.000000,0.564462,0.254355,0.564462,0.254355
19,0.000000,0.000000,0.551296,0.262491,0.551296,0.262491
20,0.000000,0.000000,0.534581,0.240657,0.534581,0.240657
21,0.000000,0.000000,0.551710,0.270853,0.551710,0.270853
22,0.000000,0.000000,0.518327,0.233316,0.518327,0.233316
23,0.000000,0.000000,0.574467,0.279129,0.574467,0.279129
24,0.000000,0.000000,0.517851,0.233592,0.517851,0.233592
25,0.000000,0.000000,0.586841,0.282944,0.586841,0.282944
26,0.000000,0.000000,0.572547,0.257589,0.572547,0.257589
27,0.000000,0.000000,0.582601,0.274147,0.582601,0.274147
28,0.000000,0.000000,0.534332,0.239722,0.534332,0.239722
29,0.000000,0.000000,0.594444,0.284360,0.594444,0.284360
30,0.000000,0.000000,0.523890,0.235186,0.523890,0.235186
31,0.000000,0.000000,0.609708,0.290526,0.609708,0.290526
32,0.000000,0.000000,0.528860,0.238056,0.528860,0.238056
33,0.000000,0.000000,0.614771,0.292188,0.614771,0.292188
34,0.000000,0.000000,0.573153,0.257366,0.573153,0.257366
35,0.000000,0.000000,0.616056,0.286937,0.616056,0.286937
36,0.000000,0.000000,0.542176,0.242919,0.542176,0.242919
37,0.000000,0.000000,0.624032,0.294126,0.624032,0.294126
38,0.000000,0.000000,0.533846,0.239280,0.533846,0.239280
39,0.000000,0.000000,0.632710,0.297954,0.632710,0.297954
40,0.000000,0.000000,0.538179,0.241657,0.538179,0.241657
41,0.000000,0.000000,0.635814,0.299100,0.635814,0.299100
42,0.276220,0.078670,0.020742,0.077608,0.255478,0.001062
43,0.305392,0.089659,0.054651,0.204503,0.250741,0.114844
44,0.308779,0.086222,0.021600,0.080880,0.287178,0.005342
45,0.288716,0.083268,0.054963,0.205873,0.233753,0.122606
46,0.330579,0.091444,0.023143,0.086689,0.307435,0.004755
47,0.255549,0.074070,0.055499,0.208183,0.200050,0.134113
48,0.340898,0.094006,0.024729,0.092606,0.316168,0.001401
49,0.223234,0.066005,0.056259,0.211198,0.166975,0.145193
50,0.348329,0.095780,0.025986,0.097326,0.322342,0.001547
51,0.199345,0.059838,0.057018,0.214109,0.142327,0.154271
52,0.315010,0.089884,0.021815,0.081681,0.293195,0.008203
53,0.182327,0.058927,0.054411,0.203985,0.127916,0.145058
54,0.321290,0.092582,0.023340,0.087360,0.297950,0.005221
55,0.135110,0.051301,0.056333,0.211321,0.078778,0.160020
56,0.324806,0.094341,0.024419,0.091397,0.300388,0.002944
57,0.106106,0.048570,0.057805,0.216792,0.048302,0.168222
58,0.328038,0.095855,0.025151,0.094136,0.302886,0.001719
59,0.081065,0.047769,0.058878,0.220736,0.022187,0.172967
60,0.300090,0.087181,0.021400,0.080072,0.278690,0.007109
61,0.172500,0.057033,0.054887,0.205472,0.117612,0.148439
62,0.306769,0.090533,0.023251,0.087003,0.283518,0.003530
63,0.119554,0.049002,0.057327,0.214667,0.062227,0.165665
64,0.311531,0.092882,0.024460,0.091522,0.287072,0.001361
