idx,mean_script,std_script,mean_backend,std_backend,diff_mean,diff_std
0,0.666103,0.149361,0.386739,0.319145,0.279364,0.169784
1,0.720993,0.161885,0.443280,0.368891,0.277713,0.207007
2,0.648814,0.145281,0.373511,0.308308,0.275303,0.163027
3,0.691189,0.155655,0.422464,0.352992,0.268725,0.197337
4,0.631408,0.141427,0.364676,0.301271,0.266732,0.159844
5,0.660597,0.149362,0.403661,0.339921,0.256937,0.190559
6,0.619180,0.138702,0.357049,0.295215,0.262131,0.156512
7,0.657448,0.148437,0.396029,0.336476,0.261418,0.188039
8,0.626517,0.140304,0.354547,0.293424,0.271969,0.153121
9,0.672945,0.151271,0.397018,0.338984,0.275927,0.187712
10,0.669152,0.149934,0.390367,0.322920,0.278785,0.172986
11,0.586530,0.133183,0.379342,0.322310,0.207188,0.189127
12,0.665660,0.149191,0.387869,0.321462,0.277791,0.172271
13,0.557981,0.126863,0.365444,0.318061,0.192537,0.191198
14,0.666043,0.149351,0.386245,0.320508,0.279799,0.171157
15,0.535391,0.121852,0.354364,0.314143,0.181027,0.192291
16,0.670725,0.150544,0.386534,0.321127,0.284192,0.170584
17,0.513368,0.117069,0.344011,0.310207,0.169358,0.193137
18,0.696806,0.156896,0.403055,0.333356,0.293751,0.176460
19,0.604586,0.136650,0.394010,0.333725,0.210576,0.197075
20,0.661452,0.148471,0.381848,0.315771,0.279604,0.167300
21,0.632352,0.142093,0.394337,0.338658,0.238015,0.196564
22,0.642589,0.143995,0.369722,0.305750,0.272866,0.161755
23,0.671661,0.150721,0.410244,0.350705,0.261417,0.199984
24,0.642020,0.143899,0.368492,0.304990,0.273528,0.161091
25,0.688667,0.154599,0.419023,0.357090,0.269644,0.202491
26,0.711763,0.161082,0.408782,0.337903,0.302981,0.176821
27,0.647485,0.145537,0.416148,0.350658,0.231337,0.205122
28,0.673129,0.151657,0.382041,0.315491,0.291088,0.163833
29,0.684325,0.153371,0.424920,0.360631,0.259405,0.207260
30,0.655820,0.147370,0.374097,0.309003,0.281723,0.161633
31,0.707127,0.158554,0.435849,0.369120,0.271278,0.210565
32,0.655770,0.147319,0.377049,0.311777,0.278721,0.164459
33,0.711599,0.159761,0.439396,0.371706,0.272203,0.211945
34,0.719117,0.163411,0.409276,0.338075,0.309841,0.174663
35,0.697149,0.156359,0.440124,0.369207,0.257024,0.212848
36,0.686752,0.155491,0.387965,0.320218,0.298787,0.164726
37,0.722449,0.161909,0.446338,0.376287,0.276112,0.214378
38,0.670330,0.151249,0.381832,0.315196,0.288498,0.163947
39,0.733514,0.164391,0.452643,0.381405,0.280871,0.217014
40,0.667424,0.150398,0.384656,0.317763,0.282768,0.167365
41,0.733579,0.164492,0.454685,0.382949,0.278895,0.218457
42,0.000000,0.000000,0.059479,0.123411,0.059479,0.123411
43,0.000000,0.000000,0.099072,0.233141,0.099072,0.233141
44,0.000000,0.000000,0.064904,0.134367,0.064904,0.134367
45,0.000000,0.000000,0.095590,0.227098,0.095590,0.227098
46,0.000000,0.000000,0.068568,0.141791,0.068568,0.141791
47,0.000000,0.000000,0.090407,0.220936,0.090407,0.220936
48,0.000000,0.000000,0.070876,0.146530,0.070876,0.146530
49,0.000000,0.000000,0.087033,0.219367,0.087033,0.219367
50,0.000000,0.000000,0.072843,0.150583,0.072843,0.150583
51,0.000000,0.000000,0.085259,0.221177,0.085259,0.221177
52,0.000000,0.000000,0.064695,0.134116,0.064695,0.134116
53,0.000000,0.000000,0.081404,0.214784,0.081404,0.214784
54,0.000000,0.000000,0.067185,0.139367,0.067185,0.139367
55,0.000000,0.000000,0.077916,0.220174,0.077916,0.220174
56,0.000000,0.000000,0.069005,0.143235,0.069005,0.143235
57,0.000000,0.000000,0.076293,0.225384,0.076293,0.225384
58,0.000000,0.000000,0.070309,0.146036,0.070309,0.146036
59,0.000000,0.000000,0.074679,0.229397,0.074679,0.229397
60,0.000000,0.000000,0.061577,0.127893,0.061577,0.127893
61,0.000000,0.000000,0.082212,0.220767,0.082212,0.220767
62,0.000000,0.000000,0.064280,0.133607,0.064280,0.133607
63,0.000000,0.000000,0.078717,0.228694,0.078717,0.228694
64,0.000000,0.000000,0.066383,0.138089,0.066383,0.138089
65,0.000000,0.000000,0.076469,0.233273,0.076469,0.233273
66,0.000000,0.000000,0.067947,0.141475,0.067947,0.141475
67,0.000000,0.000000,0.074023,0.235575,0.074023,0.235575
68,0.000000,0.000000,0.058849,0.122387,0.058849,0.122387
69,0.000000,0.000000,0.083860,0.227093,0.083860,0.227093
70,0.000000,0.000000,0.060990,0.126994,0.060990,0.126994
71,0.000000,0.000000,0.080797,0.235705,0.080797,0.235705
72,0.000000,0.000000,0.063075,0.131388,0.063075,0.131388
73,0.000000,0.000000,0.078791,0.240430,0.078791,0.240430
74,0.000000,0.000000,0.064667,0.134759,0.064667,0.134759
75,0.000000,0.000000,0.076589,0.242857,0.076589,0.242857
76,0.000000,0.000000,0.056314,0.117236,0.056314,0.117236
77,0.000000,0.000000,0.086217,0.233222,0.086217,0.233222
78,0.000000,0.000000,0.057656,0.120181,0.057656,0.120181
79,0.000000,0.000000,0.083758,0.240403,0.083758,0.240403
80,0.000000,0.000000,0.059058,0.123158,0.059058,0.123158
81,0.000000,0.000000,0.082197,0.245100,0.082197,0.245100
82,0.000000,0.000000,0.060421,0.126047,0.060421,0.126047
83,0.000000,0.000000,0.080315,0.247893,0.080315,0.247893
84,0.482374,0.001608,0.490020,0.003537,0.007646,0.001928
85,0.296680,0.005043,0.245363,0.016322,0.051317,0.011279
86,0.612467,0.002425,0.628732,0.004782,0.016265,0.002357
87,0.557553,0.003476,0.508574,0.006549,0.048979,0.003074
88,0.349097,0.001059,0.344198,0.008265,0.004900,0.007206
89,0.553738,0.001984,0.505604,0.009048,0.048134,0.007064
90,0.690530,0.008231,0.668069,0.007304,0.022461,0.000928
91,0.926080,0.014276,0.875006,0.027805,0.051074,0.013529
92,0.296977,0.001259,0.294893,0.024882,0.002084,0.023623
93,0.914178,0.008020,0.827892,0.058634,0.086286,0.050614
94,0.704404,0.015372,0.656474,0.014313,0.047930,0.001059
95,0.800173,0.013321,0.876863,0.154702,0.076690,0.141381
96,0.273930,0.004997,0.325616,0.013427,0.051686,0.008430
97,1.168432,0.011140,0.949271,0.230513,0.219161,0.219373
98,0.565076,0.002433,0.584110,0.005836,0.019034,0.003402
99,1.139841,0.008436,1.012744,0.030898,0.127097,0.022463
100,0.401377,0.002101,0.403746,0.004744,0.002368,0.002643
101,1.135897,0.009217,1.012048,0.031740,0.123849,0.022523
102,0.381517,1.670576,-0.000000,5.900805,0.381517,4.230228
103,0.424153,1.970187,0.000000,7.633362,0.424153,5.663176
104,0.000000,0.000000,0.194965,2.492852,0.194965,2.492852
