idx,mean_script,std_script,mean_backend,std_backend,diff_mean,diff_std
0,0.000000,0.000000,0.217488,0.322628,0.217488,0.322628
1,0.000000,0.000000,0.234481,0.347858,0.234481,0.347858
2,0.000000,0.000000,0.210980,0.312966,0.210980,0.312966
3,0.000000,0.000000,0.226346,0.335791,0.226346,0.335791
4,0.000000,0.000000,0.206044,0.305647,0.206044,0.305647
5,0.000000,0.000000,0.217915,0.323291,0.217915,0.323291
6,0.000000,0.000000,0.203460,0.301819,0.203460,0.301819
7,0.000000,0.000000,0.215590,0.319850,0.215590,0.319850
8,0.000000,0.000000,0.204820,0.303828,0.204820,0.303828
9,0.000000,0.000000,0.216626,0.321380,0.216626,0.321380
10,0.000000,0.000000,0.217128,0.322085,0.217128,0.322085
11,0.000000,0.000000,0.196381,0.291352,0.196381,0.291352
12,0.000000,0.000000,0.217417,0.322509,0.217417,0.322509
13,0.000000,0.000000,0.184181,0.273287,0.184181,0.273287
14,0.000000,0.000000,0.218090,0.323510,0.218090,0.323510
15,0.000000,0.000000,0.175643,0.260630,0.175643,0.260630
16,0.000000,0.000000,0.219268,0.325262,0.219268,0.325262
17,0.000000,0.000000,0.167685,0.248835,0.167685,0.248835
18,0.000000,0.000000,0.226609,0.336147,0.226609,0.336147
19,0.000000,0.000000,0.201078,0.298330,0.201078,0.298330
20,0.000000,0.000000,0.222270,0.329760,0.222270,0.329760
21,0.000000,0.000000,0.199356,0.295897,0.199356,0.295897
22,0.000000,0.000000,0.216793,0.321739,0.216793,0.321739
23,0.000000,0.000000,0.207693,0.308564,0.207693,0.308564
24,0.000000,0.000000,0.214849,0.318906,0.214849,0.318906
25,0.000000,0.000000,0.212139,0.315488,0.212139,0.315488
26,0.000000,0.000000,0.233105,0.345780,0.233105,0.345780
27,0.000000,0.000000,0.211727,0.314144,0.211727,0.314144
28,0.000000,0.000000,0.224021,0.332337,0.224021,0.332337
29,0.000000,0.000000,0.219708,0.325979,0.219708,0.325979
30,0.000000,0.000000,0.216404,0.321023,0.216404,0.321023
31,0.000000,0.000000,0.228380,0.338825,0.228380,0.338825
32,0.000000,0.000000,0.213845,0.317213,0.213845,0.317213
33,0.000000,0.000000,0.231810,0.343900,0.231810,0.343900
34,0.000000,0.000000,0.236965,0.351506,0.236965,0.351506
35,0.000000,0.000000,0.225067,0.333947,0.225067,0.333947
36,0.000000,0.000000,0.228753,0.339352,0.228753,0.339352
37,0.000000,0.000000,0.231859,0.344005,0.231859,0.344005
38,0.000000,0.000000,0.222031,0.329372,0.222031,0.329372
39,0.000000,0.000000,0.237876,0.352909,0.237876,0.352909
40,0.000000,0.000000,0.219355,0.325391,0.219355,0.325391
41,0.000000,0.000000,0.240437,0.356689,0.240437,0.356689
42,0.114764,0.123697,0.091335,0.136542,0.023428,0.012845
43,0.333461,0.347794,0.107221,0.159125,0.226240,0.188669
44,0.127454,0.137796,0.102414,0.152795,0.025040,0.014999
45,0.315023,0.328554,0.101831,0.151231,0.213193,0.177324
46,0.135571,0.147257,0.109428,0.163131,0.026143,0.015874
47,0.291317,0.303883,0.090433,0.134506,0.200884,0.169377
48,0.137650,0.150370,0.111933,0.166918,0.025717,0.016548
49,0.271352,0.283071,0.079503,0.118625,0.191849,0.164446
50,0.136336,0.150197,0.113796,0.169606,0.022540,0.019409
51,0.256059,0.267070,0.071015,0.106396,0.185044,0.160673
52,0.121272,0.133388,0.104612,0.156608,0.016660,0.023220
53,0.258155,0.269322,0.067870,0.101445,0.190285,0.167877
54,0.119293,0.132900,0.106390,0.159564,0.012904,0.026664
55,0.233356,0.243497,0.052522,0.079482,0.180834,0.164015
56,0.116749,0.131681,0.107225,0.161034,0.009524,0.029354
57,0.219100,0.228668,0.043040,0.066307,0.176060,0.162361
58,0.114175,0.130536,0.107817,0.162099,0.006358,0.031563
59,0.206945,0.216007,0.034745,0.055199,0.172200,0.160808
60,0.112782,0.124854,0.099649,0.149517,0.013133,0.024663
61,0.259048,0.270239,0.064859,0.096903,0.194190,0.173336
62,0.110363,0.124086,0.101461,0.152611,0.008902,0.028525
63,0.232947,0.243040,0.047661,0.072353,0.185286,0.170686
64,0.108101,0.123321,0.102680,0.154701,0.005421,0.031381
65,0.217164,0.226629,0.037221,0.058256,0.179943,0.168373
66,0.106012,0.122883,0.103910,0.156784,0.002102,0.033901
67,0.203834,0.212776,0.028241,0.047008,0.175592,0.165769
68,0.105142,0.117060,0.094502,0.142093,0.010640,0.025033
69,0.264649,0.276113,0.064287,0.095869,0.200362,0.180243
70,0.102608,0.116206,0.096220,0.145065,0.006388,0.028858
71,0.239803,0.250213,0.047805,0.072169,0.191998,0.178044
72,0.101255,0.116143,0.097751,0.147643,0.003504,0.031500
73,0.224514,0.234302,0.037966,0.058689,0.186548,0.175612
74,0.100151,0.116408,0.099130,0.149996,0.001021,0.033588
75,0.211828,0.221113,0.029590,0.047970,0.182238,0.173143
76,0.097881,0.109459,0.088587,0.133517,0.009294,0.024058
77,0.274789,0.286773,0.066142,0.098386,0.208648,0.188387
78,0.096098,0.109061,0.090014,0.135971,0.006084,0.026910
79,0.254304,0.265396,0.052964,0.079180,0.201341,0.186216
